title,issn,publisher,subjectAreas,licenseAgreement,oaModel
Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,0168-583X,Elsevier,,100%,Hybrid
Nuclear Medicine and Biology,0969-8051,Elsevier,,100%,Hybrid
Nuclear Physics A,0375-9474,Elsevier,,100%,Hybrid
Nurse Education in Practice,1471-5953,Elsevier,,100%,Hybrid
Nurse Education Today,0260-6917,Elsevier,,100%,Hybrid
Nurse Leader,1541-4612,Elsevier,,100%,Hybrid
Nursing Outlook,0029-6554,Elsevier,,100%,Hybrid
Nutrition,0899-9007,Elsevier,,100%,Hybrid
Nutrition Clinique et Métabolisme,0985-0562,Elsevier,,100%,Hybrid
Nutrition Research,0271-5317,Elsevier,,100%,Hybrid
"Nutrition, Metabolism & Cardiovascular Diseases",0939-4753,Elsevier,,100%,Hybrid
Obesity Medicine,2451-8476,Elsevier,,100%,Hybrid
Obesity Research & Clinical Practice,1871-403X,Elsevier,,100%,Hybrid
Ocean & Coastal Management,0964-5691,Elsevier,,100%,Hybrid
Ocean Engineering,0029-8018,Elsevier,,100%,Hybrid
Ocean Modelling,1463-5003,Elsevier,,100%,Hybrid
Omega,0305-0483,Elsevier,,100%,Hybrid
Online Social Networks and Media,2468-6964,Elsevier,,100%,Hybrid
Operations Research for Health Care,2211-6923,Elsevier,,100%,Hybrid
Operations Research Letters,0167-6377,Elsevier,,100%,Hybrid
Operative Techniques in Orthopaedics,1048-6666,Elsevier,,100%,Hybrid
Operative Techniques in Otolaryngology - Head and Neck Surgery,1043-1810,Elsevier,,100%,Hybrid
Operative Techniques in Sports Medicine,1060-1872,Elsevier,,100%,Hybrid
Operative Techniques in Thoracic and Cardiovascular Surgery,1522-2942,Elsevier,,100%,Hybrid
Optical Fiber Technology,1068-5200,Elsevier,,100%,Hybrid
Optical Materials,0925-3467,Elsevier,,100%,Hybrid
Optical Switching and Networking,1573-4277,Elsevier,,100%,Hybrid
Optics & Laser Technology,0030-3992,Elsevier,,100%,Hybrid
Optics and Lasers in Engineering,0143-8166,Elsevier,,100%,Hybrid
Optics Communications,0030-4018,Elsevier,,100%,Hybrid
Optik,0030-4026,Elsevier,,100%,Hybrid
Oral Oncology,1368-8375,Elsevier,,100%,Hybrid
"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",2212-4403,Elsevier,,100%,Hybrid
Orbis,0030-4387,Elsevier,,100%,Hybrid
Ore and Energy Resource Geology,2666-2612,Elsevier,,100%,Hybrid
Organic Electronics,1566-1199,Elsevier,,100%,Hybrid
Organic Geochemistry,0146-6380,Elsevier,,100%,Hybrid
Organizational Behavior and Human Decision Processes,0749-5978,Elsevier,,100%,Hybrid
Organizational Dynamics,0090-2616,Elsevier,,100%,Hybrid
Orthopaedics & Traumatology: Surgery & Research,1877-0568,Elsevier,,100%,Hybrid
Osteoarthritis and Cartilage,1063-4584,Elsevier,,100%,Hybrid
Osteopathische Medizin,1615-9071,Elsevier,,100%,Hybrid
Pacific-Basin Finance Journal,0927-538X,Elsevier,,100%,Hybrid
Paediatric Respiratory Reviews,1526-0542,Elsevier,,100%,Hybrid
Pain Management Nursing,1524-9042,Elsevier,,100%,Hybrid
"Palaeogeography, Palaeoclimatology, Palaeoecology",0031-0182,Elsevier,,100%,Hybrid
Palaeoworld,1871-174X,Elsevier,,100%,Hybrid
Pancreatology,1424-3903,Elsevier,,100%,Hybrid
Parallel Computing,0167-8191,Elsevier,,100%,Hybrid
Parasitology International,1383-5769,Elsevier,,100%,Hybrid
Parkinsonism & Related Disorders,1353-8020,Elsevier,,100%,Hybrid
Particuology,1674-2001,Elsevier,,100%,Hybrid
Pathology,0031-3025,Elsevier,,100%,Hybrid
Pathology - Research and Practice,0344-0338,Elsevier,,100%,Hybrid
Patient Education and Counseling,0738-3991,Elsevier,,100%,Hybrid
Pattern Recognition,0031-3203,Elsevier,,100%,Hybrid
Pattern Recognition Letters,0167-8655,Elsevier,,100%,Hybrid
Pediatric Dental Journal,0917-2394,Elsevier,,100%,Hybrid
Pediatric Neurology,0887-8994,Elsevier,,100%,Hybrid
Pedobiologia,0031-4056,Elsevier,,100%,Hybrid
Peptides,0196-9781,Elsevier,,100%,Hybrid
Performance Enhancement & Health,2211-2669,Elsevier,,100%,Hybrid
Performance Evaluation,0166-5316,Elsevier,,100%,Hybrid
Perioperative Care and Operating Room Management,2405-6030,Elsevier,,100%,Hybrid
Personality and Individual Differences,0191-8869,Elsevier,,100%,Hybrid
Personalized Medicine in Psychiatry,2468-1717,Elsevier,,100%,Hybrid
"Perspectives in Plant Ecology, Evolution and Systematics",1433-8319,Elsevier,,100%,Hybrid
Pervasive and Mobile Computing,1574-1192,Elsevier,,100%,Hybrid
Pesticide Biochemistry and Physiology,0048-3575,Elsevier,,100%,Hybrid
Pharmacology & Therapeutics,0163-7258,Elsevier,,100%,Hybrid
Pharmacology Biochemistry and Behavior,0091-3057,Elsevier,,100%,Hybrid
PharmaNutrition,2213-4344,Elsevier,,100%,Hybrid
Photonics and Nanostructures - Fundamentals and Applications,1569-4410,Elsevier,,100%,Hybrid
Physica A: Statistical Mechanics and its Applications,0378-4371,Elsevier,,100%,Hybrid
Physica B: Condensed Matter,0921-4526,Elsevier,,100%,Hybrid
Physica C: Superconductivity and its Applications,0921-4534,Elsevier,,100%,Hybrid
Physica D: Nonlinear Phenomena,0167-2789,Elsevier,,100%,Hybrid
Physica E: Low-Dimensional Systems and Nanostructures,1386-9477,Elsevier,,100%,Hybrid
Physica Medica,1120-1797,Elsevier,,100%,Hybrid
Physical Communication,1874-4907,Elsevier,,100%,Hybrid
Physical Therapy in Sport,1466-853X,Elsevier,,100%,Hybrid
"Physics and Chemistry of the Earth, Parts A/B/C",1474-7065,Elsevier,,100%,Hybrid
Physics Letters A,0375-9601,Elsevier,,100%,Hybrid
Physics of Life Reviews,1571-0645,Elsevier,,100%,Hybrid
Physics of the Dark Universe,2212-6864,Elsevier,,100%,Hybrid
Physics of the Earth and Planetary Interiors,0031-9201,Elsevier,,100%,Hybrid
Physics Reports,0370-1573,Elsevier,,100%,Hybrid
Physiological and Molecular Plant Pathology,0885-5765,Elsevier,,100%,Hybrid
Physiology & Behavior,0031-9384,Elsevier,,100%,Hybrid
Physiotherapy,0031-9406,Elsevier,,100%,Hybrid
Phytochemistry,0031-9422,Elsevier,,100%,Hybrid
Phytochemistry Letters,1874-3900,Elsevier,,100%,Hybrid
Phytomedicine,0944-7113,Elsevier,,100%,Hybrid
Placenta,0143-4004,Elsevier,,100%,Hybrid
Planetary and Space Science,0032-0633,Elsevier,,100%,Hybrid
Plant Gene,2352-4073,Elsevier,,100%,Hybrid
Plant Physiology and Biochemistry,0981-9428,Elsevier,,100%,Hybrid
Plant Science,0168-9452,Elsevier,,100%,Hybrid
Plasmid,0147-619X,Elsevier,,100%,Hybrid
Poetics,0304-422X,Elsevier,,100%,Hybrid
Polar Science,1873-9652,Elsevier,,100%,Hybrid
Political Geography,0962-6298,Elsevier,,100%,Hybrid
Polyhedron,0277-5387,Elsevier,,100%,Hybrid
Polymer,0032-3861,Elsevier,,100%,Hybrid
Polymer Degradation and Stability,0141-3910,Elsevier,,100%,Hybrid
Postharvest Biology and Technology,0925-5214,Elsevier,,100%,Hybrid
Powder Technology,0032-5910,Elsevier,,100%,Hybrid
Pratiques Psychologiques,1269-1763,Elsevier,,100%,Hybrid
Precambrian Research,0301-9268,Elsevier,,100%,Hybrid
Precision Engineering,0141-6359,Elsevier,,100%,Hybrid
Pregnancy Hypertension,2210-7789,Elsevier,,100%,Hybrid
Preventive Medicine,0091-7435,Elsevier,,100%,Hybrid
Preventive Veterinary Medicine,0167-5877,Elsevier,,100%,Hybrid
Primary Care Diabetes,1751-9918,Elsevier,,100%,Hybrid
Probabilistic Engineering Mechanics,0266-8920,Elsevier,,100%,Hybrid
Proceedings of the Combustion Institute,1540-7489,Elsevier,,100%,Hybrid
Proceedings of the Geologists' Association,0016-7878,Elsevier,,100%,Hybrid
Process Biochemistry,1359-5113,Elsevier,,100%,Hybrid
Process Safety and Environmental Protection,0957-5820,Elsevier,,100%,Hybrid
Progress in Aerospace Sciences,0376-0421,Elsevier,,100%,Hybrid
Progress in Biophysics & Molecular Biology,0079-6107,Elsevier,,100%,Hybrid
Progress in Cardiovascular Diseases,0033-0620,Elsevier,,100%,Hybrid
Progress in Energy and Combustion Science,0360-1285,Elsevier,,100%,Hybrid
Progress in Lipid Research,0163-7827,Elsevier,,100%,Hybrid
Progress in Materials Science,0079-6425,Elsevier,,100%,Hybrid
Progress in Neurobiology,0301-0082,Elsevier,,100%,Hybrid
Progress in Neuro-Psychopharmacology & Biological Psychiatry,0278-5846,Elsevier,,100%,Hybrid
Progress in Nuclear Energy,0149-1970,Elsevier,,100%,Hybrid
Progress in Nuclear Magnetic Resonance Spectroscopy,0079-6565,Elsevier,,100%,Hybrid
Progress in Oceanography,0079-6611,Elsevier,,100%,Hybrid
Progress in Organic Coatings,0300-9440,Elsevier,,100%,Hybrid
Progress in Particle and Nuclear Physics,0146-6410,Elsevier,,100%,Hybrid
Progress in Pediatric Cardiology,1058-9813,Elsevier,,100%,Hybrid
Progress in Planning,0305-9006,Elsevier,,100%,Hybrid
Progress in Polymer Science,0079-6700,Elsevier,,100%,Hybrid
Progress in Quantum Electronics,0079-6727,Elsevier,,100%,Hybrid
Progress in Retinal and Eye Research,1350-9462,Elsevier,,100%,Hybrid
Progress in Surface Science,0079-6816,Elsevier,,100%,Hybrid
Prostaglandins & Other Lipid Mediators,1098-8823,Elsevier,,100%,Hybrid
"Prostaglandins, Leukotrienes & Essential Fatty Acids",0952-3278,Elsevier,,100%,Hybrid
Protein Expression and Purification,1046-5928,Elsevier,,100%,Hybrid
Protist,1434-4610,Elsevier,,100%,Hybrid
Psychiatry Research,0165-1781,Elsevier,,100%,Hybrid
Psychiatry Research: Neuroimaging,0925-4927,Elsevier,,100%,Hybrid
Psychology of Sport and Exercise,1469-0292,Elsevier,,100%,Hybrid
Psychoneuroendocrinology,0306-4530,Elsevier,,100%,Hybrid
Public Health,0033-3506,Elsevier,,100%,Hybrid
Public Relations Review,0363-8111,Elsevier,,100%,Hybrid
Pulmonary Pharmacology & Therapeutics,1094-5539,Elsevier,,100%,Hybrid
Quaternary Geochronology,1871-1014,Elsevier,,100%,Hybrid
Quaternary International,1040-6182,Elsevier,,100%,Hybrid
Quaternary Science Reviews,0277-3791,Elsevier,,100%,Hybrid
Radiation Measurements,1350-4487,Elsevier,,100%,Hybrid
Radiation Physics and Chemistry,0969-806X,Elsevier,,100%,Hybrid
Radiography,1078-8174,Elsevier,,100%,Hybrid
Radiología (English Edition),2173-5107,Elsevier,,100%,Hybrid
Radiotherapy & Oncology,0167-8140,Elsevier,,100%,Hybrid
Reactive and Functional Polymers,1381-5148,Elsevier,,100%,Hybrid
Regional Science and Urban Economics,0166-0462,Elsevier,,100%,Hybrid
Regional Studies in Marine Science,2352-4855,Elsevier,,100%,Hybrid
Regulatory Toxicology and Pharmacology,0273-2300,Elsevier,,100%,Hybrid
Reliability Engineering & System Safety,0951-8320,Elsevier,,100%,Hybrid
Remote Sensing Applications: Society and Environment,2352-9385,Elsevier,,100%,Hybrid
Remote Sensing of Environment,0034-4257,Elsevier,,100%,Hybrid
Renewable & Sustainable Energy Reviews,1364-0321,Elsevier,,100%,Hybrid
Renewable Energy,0960-1481,Elsevier,,100%,Hybrid
Renewable Energy Focus,1755-0084,Elsevier,,100%,Hybrid
Reproductive Biology,1642-431X,Elsevier,,100%,Hybrid
Reproductive BioMedicine Online,1472-6483,Elsevier,,100%,Hybrid
Reproductive Toxicology,0890-6238,Elsevier,,100%,Hybrid
Research in Autism Spectrum Disorders,1750-9467,Elsevier,,100%,Hybrid
Research in Developmental Disabilities,0891-4222,Elsevier,,100%,Hybrid
Research in Economics,1090-9443,Elsevier,,100%,Hybrid
Research in International Business and Finance,0275-5319,Elsevier,,100%,Hybrid
Research in Microbiology,0923-2508,Elsevier,,100%,Hybrid
Research in Organizational Behavior,0191-3085,Elsevier,,100%,Hybrid
Research in Social and Administrative Pharmacy,1551-7411,Elsevier,,100%,Hybrid
Research in Social Stratification and Mobility,0276-5624,Elsevier,,100%,Hybrid
Research in Transportation Business & Management,2210-5395,Elsevier,,100%,Hybrid
Research in Transportation Economics,0739-8859,Elsevier,,100%,Hybrid
Research in Veterinary Science,0034-5288,Elsevier,,100%,Hybrid
Research Policy,0048-7333,Elsevier,,100%,Hybrid
Resource and Energy Economics,0928-7655,Elsevier,,100%,Hybrid
Resources Policy,0301-4207,Elsevier,,100%,Hybrid
"Resources, Conservation & Recycling",0921-3449,Elsevier,,100%,Hybrid
Respiratory Investigation,2212-5345,Elsevier,,100%,Hybrid
Respiratory Medicine,0954-6111,Elsevier,,100%,Hybrid
Respiratory Medicine and Research,2590-0412,Elsevier,,100%,Hybrid
Respiratory Physiology & Neurobiology,1569-9048,Elsevier,,100%,Hybrid
Resuscitation,0300-9572,Elsevier,,100%,Hybrid
Reumatología Clínica (English Edition),2173-5743,Elsevier,,100%,Hybrid
Review of Economic Dynamics,1094-2025,Elsevier,,100%,Hybrid
Review of Palaeobotany and Palynology,0034-6667,Elsevier,,100%,Hybrid
Revista Clínica Española (English Edition),2254-8874,Elsevier,,100%,Hybrid
Revista Colombiana de Reumatología (English Edition),2444-4405,Elsevier,,100%,Hybrid
Revista de Psicodidáctica (English Edition),2530-3805,Elsevier,,100%,Hybrid
Revista Española de Anestesiología y Reanimación (English Edition),2341-1929,Elsevier,,100%,Hybrid
Revista Española de Cardiología (English Edition),1885-5857,Elsevier,,100%,Hybrid
Revista Española de Medicina Nuclear e Imagen Molecular (English Edition),2253-8089,Elsevier,,100%,Hybrid
Revista Iberoamericana de Micología,1130-1406,Elsevier,,100%,Hybrid
Revue de Micropaléontologie,0035-1598,Elsevier,,100%,Hybrid
Revue du Rhumatisme,1169-8330,Elsevier,,100%,Hybrid
Revue Française d'Allergologie,1877-0320,Elsevier,,100%,Hybrid
Revue Neurologique,0035-3787,Elsevier,,100%,Hybrid
Rhizosphere,2452-2198,Elsevier,,100%,Hybrid
Robotics and Autonomous Systems,0921-8890,Elsevier,,100%,Hybrid
Robotics and Computer-Integrated Manufacturing,0736-5845,Elsevier,,100%,Hybrid
Russian Literature,0304-3479,Elsevier,,100%,Hybrid
Safety Science,0925-7535,Elsevier,,100%,Hybrid
Scandinavian Journal of Management,0956-5221,Elsevier,,100%,Hybrid
Schizophrenia Research,0920-9964,Elsevier,,100%,Hybrid
Science & Justice,1355-0306,Elsevier,,100%,Hybrid
Science & Sports,0765-1597,Elsevier,,100%,Hybrid
Science Bulletin,2095-9273,Elsevier,,100%,Hybrid
Science of Computer Programming,0167-6423,Elsevier,,100%,Hybrid
Science of the Total Environment,0048-9697,Elsevier,,100%,Hybrid
Scientia Horticulturae,0304-4238,Elsevier,,100%,Hybrid
Scripta Materialia,1359-6462,Elsevier,,100%,Hybrid
Sedimentary Geology,0037-0738,Elsevier,,100%,Hybrid
Seizure: European Journal of Epilepsy,1059-1311,Elsevier,,100%,Hybrid
Seminars in Arthritis and Rheumatism,0049-0172,Elsevier,,100%,Hybrid
Seminars in Arthroplasty: JSES,1045-4527,Elsevier,,100%,Hybrid
Seminars in Cancer Biology,1044-579X,Elsevier,,100%,Hybrid
Seminars in Cell and Developmental Biology,1084-9521,Elsevier,,100%,Hybrid
Seminars in Colon and Rectal Surgery,1043-1489,Elsevier,,100%,Hybrid
Seminars in Fetal & Neonatal Medicine,1744-165X,Elsevier,,100%,Hybrid
Seminars in Immunology,1044-5323,Elsevier,,100%,Hybrid
Seminars in Nuclear Medicine,0001-2998,Elsevier,,100%,Hybrid
Seminars in Oncology Nursing,0749-2081,Elsevier,,100%,Hybrid
Seminars in Orthodontics,1073-8746,Elsevier,,100%,Hybrid
Seminars in Pediatric Neurology,1071-9091,Elsevier,,100%,Hybrid
Seminars in Pediatric Surgery,1055-8586,Elsevier,,100%,Hybrid
Seminars in Perinatology,0146-0005,Elsevier,,100%,Hybrid
Seminars in Radiation Oncology,1053-4296,Elsevier,,100%,Hybrid
Seminars in Roentgenology,0037-198X,Elsevier,,100%,Hybrid
Seminars in Spine Surgery,1040-7383,Elsevier,,100%,Hybrid
Seminars in Thoracic and Cardiovascular Surgery,1043-0679,Elsevier,,100%,Hybrid
Seminars in Thoracic and Cardiovascular Surgery: Pediatric Cardiac Surgery Annual,1092-9126,Elsevier,,100%,Hybrid
"Seminars in Ultrasound, CT and MRI",0887-2171,Elsevier,,100%,Hybrid
Seminars in Vascular Surgery,0895-7967,Elsevier,,100%,Hybrid
Sensors and Actuators A: Physical,0924-4247,Elsevier,,100%,Hybrid
Sensors and Actuators B: Chemical,0925-4005,Elsevier,,100%,Hybrid
Separation and Purification Technology,1383-5866,Elsevier,,100%,Hybrid
Sexual & Reproductive Healthcare,1877-5756,Elsevier,,100%,Hybrid
Signal Processing,0165-1684,Elsevier,,100%,Hybrid
Signal Processing: Image Communication,0923-5965,Elsevier,,100%,Hybrid
Simulation Modelling Practice and Theory,1569-190X,Elsevier,,100%,Hybrid
Sleep Health,2352-7218,Elsevier,,100%,Hybrid
Sleep Medicine,1389-9457,Elsevier,,100%,Hybrid
Sleep Medicine Reviews,1087-0792,Elsevier,,100%,Hybrid
Small Ruminant Research,0921-4488,Elsevier,,100%,Hybrid
Smart Health,2352-6483,Elsevier,,100%,Hybrid
Social Networks,0378-8733,Elsevier,,100%,Hybrid
Social Science & Medicine,0277-9536,Elsevier,,100%,Hybrid
Social Science Research,0049-089X,Elsevier,,100%,Hybrid
Socio-Economic Planning Sciences,0038-0121,Elsevier,,100%,Hybrid
Soil & Tillage Research,0167-1987,Elsevier,,100%,Hybrid
Soil Biology & Biochemistry,0038-0717,Elsevier,,100%,Hybrid
Soil Dynamics and Earthquake Engineering,0267-7261,Elsevier,,100%,Hybrid
Solar Energy,0038-092X,Elsevier,,100%,Hybrid
Solar Energy Materials and Solar Cells,0927-0248,Elsevier,,100%,Hybrid
Solid State Communications,0038-1098,Elsevier,,100%,Hybrid
Solid State Ionics,0167-2738,Elsevier,,100%,Hybrid
Solid State Nuclear Magnetic Resonance,0926-2040,Elsevier,,100%,Hybrid
Solid State Sciences,1293-2558,Elsevier,,100%,Hybrid
Solid-State Electronics,0038-1101,Elsevier,,100%,Hybrid
South African Journal of Botany,0254-6299,Elsevier,,100%,Hybrid
Space Policy,0265-9646,Elsevier,,100%,Hybrid
Spanish Journal of Legal Medicine,2445-4249,Elsevier,,100%,Hybrid
Spanish Journal of Psychiatry and Mental Health,2950-2853,Elsevier,,100%,Hybrid
Spatial and Spatio-temporal Epidemiology,1877-5845,Elsevier,,100%,Hybrid
Spatial Statistics,2211-6753,Elsevier,,100%,Hybrid
Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,1386-1425,Elsevier,,100%,Hybrid
Spectrochimica Acta Part B: Atomic Spectroscopy,0584-8547,Elsevier,,100%,Hybrid
Speech Communication,0167-6393,Elsevier,,100%,Hybrid
Sports Economics Review,2773-1618,Elsevier,,100%,Hybrid
Sports Orthopaedics and Traumatology,0949-328X,Elsevier,,100%,Hybrid
Statistics & Probability Letters,0167-7152,Elsevier,,100%,Hybrid
Steroids,0039-128X,Elsevier,,100%,Hybrid
Stochastic Processes and their Applications,0304-4149,Elsevier,,100%,Hybrid
Structural Change and Economic Dynamics,0954-349X,Elsevier,,100%,Hybrid
Structural Safety,0167-4730,Elsevier,,100%,Hybrid
Structures,2352-0124,Elsevier,,100%,Hybrid
Studies in Educational Evaluation,0191-491X,Elsevier,,100%,Hybrid
Studies in History and Philosophy of Science,0039-3681,Elsevier,,100%,Hybrid
Surface and Coatings Technology,0257-8972,Elsevier,,100%,Hybrid
Surface Science,0039-6028,Elsevier,,100%,Hybrid
Surface Science Reports,0167-5729,Elsevier,,100%,Hybrid
Surfaces and Interfaces,2468-0230,Elsevier,,100%,Hybrid
Surgery,0039-6060,Elsevier,,100%,Hybrid
Surgical Oncology,0960-7404,Elsevier,,100%,Hybrid
Survey of Ophthalmology,0039-6257,Elsevier,,100%,Hybrid
Sustainable Chemistry and Pharmacy,2352-5541,Elsevier,,100%,Hybrid
Sustainable Cities and Society,2210-6707,Elsevier,,100%,Hybrid
Sustainable Computing: Informatics and Systems,2210-5379,Elsevier,,100%,Hybrid
Sustainable Energy Technologies and Assessments,2213-1388,Elsevier,,100%,Hybrid
"Sustainable Energy, Grids and Networks",2352-4677,Elsevier,,100%,Hybrid
Sustainable Materials and Technologies,2214-9937,Elsevier,,100%,Hybrid
Sustainable Production and Consumption,2352-5509,Elsevier,,100%,Hybrid
Swarm and Evolutionary Computation,2210-6502,Elsevier,,100%,Hybrid
Synthetic Metals,0379-6779,Elsevier,,100%,Hybrid
System,0346-251X,Elsevier,,100%,Hybrid
Systematic and Applied Microbiology,0723-2020,Elsevier,,100%,Hybrid
